,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,0,1.58,380
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,10,1.57,383
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,20,17.59,381
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,30,57.61,368
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,40,66.22,370
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,50,68.31,366
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,60,68.87,363
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,70,70.14,365
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,80,69.48,367
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,90,67.95,365
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,100,68.58,366
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,110,68.66,367
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,120,68.58,366
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,130,68.12,367
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,140,69.11,369
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,150,67.95,365
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,160,67.92,371
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,170,68.52,359
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,180,70.7,372
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,190,70.81,370
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,200,70.38,368
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,210,70.19,369
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,220,71.51,365
0,E0,4,0,400999,U2OScdk1as,siB55gamma,0.0,230,71.86,366
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,0,2.54,394
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,10,2.76,398
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,20,20.33,418
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,30,56.25,400
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,40,67.92,399
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,50,72.05,390
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,60,71.82,401
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,70,73.54,393
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,80,72.08,394
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,90,71.5,393
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,100,70.54,387
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,110,72.44,381
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,120,73.18,384
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,130,73.39,387
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,140,73.09,379
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,150,71.95,385
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,160,71.47,389
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,170,69.72,393
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,180,72.08,394
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,190,72.32,401
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,200,73.83,405
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,210,73.82,401
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,220,73.58,405
0,E0,4,0,401000,U2OScdk1as,siB55gamma,0.0,230,73.95,403
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,0,3.8,158
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,10,3.21,156
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,20,14.94,154
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,30,36.65,161
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,40,47.17,159
